target,horizon,feature,abs_corr,mutual_info,lasso_selection_frequency,rank_score
CPIAUCSL,1,CES0600000008,0.04111022789962544,0.055798510823795056,0.02564102564102564,0.33743169398907097
CPIAUCSL,1,IPCONGD,0.015611407774024422,0.0,0.7435897435897436,0.32786885245901637
CPIAUCSL,1,IPFUELS,0.007649319857211076,0.025307580891747783,0.41025641025641024,0.3265027322404372
CPIAUCSL,1,PCEPI,0.18698458842972002,0.0,0.0,0.32103825136612024
CPIAUCSL,1,UMCSENTx,0.021664232628056324,0.004282619718464886,0.38461538461538464,0.31830601092896177
CPIAUCSL,1,IPMAT,0.021095729392633586,0.06156376964595944,0.02564102564102564,0.3128415300546448
CPIAUCSL,1,IPDCONGD,0.016989693530894173,0.0,0.5641025641025641,0.296448087431694
CPIAUCSL,1,REALLN,0.04212427609038582,0.0,0.3076923076923077,0.28688524590163933
CPIAUCSL,1,CE16OV,0.08712961201669468,0.0,0.05128205128205128,0.2855191256830601
CPIAUCSL,1,DSERRG3M086SBEA,0.043231683599969026,0.0,0.28205128205128205,0.2827868852459016
CPIAUCSL,1,UNRATE,0.04158905559741032,0.026660398953085807,0.02564102564102564,0.28005464480874315
CPIAUCSL,1,AWOTMAN,0.015316029332781743,0.01688884434311122,0.1282051282051282,0.2636612021857923
CPIAUCSL,1,UEMP15T26,0.04255677930190768,0.0,0.1794871794871795,0.26229508196721313
CPIAUCSL,1,UEMP27OV,0.007954092716600079,0.04076169656715756,0.05128205128205128,0.2581967213114754
CPIAUCSL,1,IPNCONGD,0.03234510934544001,0.0002792043304058467,0.1282051282051282,0.25546448087431695
CPIAUCSL,1,IPDMAT,0.03681400900497006,0.0022678252491821205,0.07692307692307693,0.24590163934426232
CPIAUCSL,1,M1SL,0.015186157276597466,0.016926443224135834,0.07692307692307693,0.2431693989071038
CPIAUCSL,1,HWIURATIO,0.03257646825365366,0.03350111164507563,0.0,0.24180327868852458
CPIAUCSL,1,IPFINAL,0.06391097036205359,0.0,0.02564102564102564,0.22814207650273224
CPIAUCSL,1,UEMPMEAN,0.024416874948694278,0.0,0.15384615384615385,0.21584699453551912
CPIAUCSL,1,UEMP15OV,0.025412574424270046,0.0,0.1282051282051282,0.20628415300546446
CPIAUCSL,1,IPFPNSS,0.06215301267428195,0.0,0.0,0.18442622950819673
CPIAUCSL,1,S&P PE ratio,0.00808064153256658,0.0,0.1794871794871795,0.18032786885245902
CPIAUCSL,1,INDPRO,0.04474478959737738,0.0,0.0,0.15710382513661203
CPIAUCSL,1,IPMANSICS,0.04094732112467676,0.0,0.0,0.13797814207650275
CPIAUCSL,1,NONBORRES,0.008515011437072154,0.0,0.02564102564102564,0.10792349726775959
CPIAUCSL,1,CUMFNS,0.006904943010434023,0.0,0.0,0.058743169398907114
CPIAUCSL,3,T5YFFM,0.4229841099934004,0.19328290680172922,0.8974358974358975,0.9685792349726775
CPIAUCSL,3,TB3SMFFM,0.48239035239190325,0.18281520728976108,0.717948717948718,0.9508196721311476
CPIAUCSL,3,COMPAPFFx,0.3904734264520029,0.11568607794191132,0.9230769230769231,0.9371584699453552
CPIAUCSL,3,BUSINVx,0.3985036903199061,0.11690215386016733,0.8717948717948718,0.9330601092896175
CPIAUCSL,3,AWHMAN,0.34452672123365924,0.1454334880181105,0.8205128205128205,0.9316939890710382
CPIAUCSL,3,AAAFFM,0.4853616055456302,0.26351915944479654,0.41025641025641024,0.9234972677595629
CPIAUCSL,3,M2REAL,0.24425277281197602,0.11533400887386502,0.9487179487179487,0.9207650273224043
CPIAUCSL,3,AMDMUOx,0.27113030415410116,0.1114723082023592,0.8717948717948718,0.9057377049180327
CPIAUCSL,3,CES0600000007,0.3279216363846798,0.11217406173148836,0.8205128205128205,0.8989071038251367
CPIAUCSL,3,HOUSTMW,0.24994606101754957,0.10066602367231114,0.8461538461538461,0.8920765027322405
CPIAUCSL,3,USWTRADE,0.21450318751352593,0.09908628648533213,0.8974358974358975,0.8866120218579235
CPIAUCSL,3,PERMITW,0.20418269190291538,0.10485649555545162,0.6410256410256411,0.8524590163934427
CPIAUCSL,3,USFIRE,0.2247243100467209,0.09230021780367759,0.6923076923076923,0.8497267759562841
CPIAUCSL,3,BAA,0.1810577703190027,0.08931626819521243,0.717948717948718,0.8278688524590163
